"SRC_SYSTEM","SCENARIO","BUSINESS_DT","DT","PLANT_PRODUCT_ID","BP","PLAN","PPR","FORECAST","FACT"
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-25,[MENGE_11_7-_01-V],508.66400,461.71000,947.08500,,516.22400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-26,[MENGE_11_7-_01-V],502.02500,455.68400,934.72400,,473.98400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-27,[MENGE_11_7-_01-V],484.20700,503.88500,901.54900,503.88500,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-28,[MENGE_11_7-_01-V],484.20700,394.37900,0.00000,368.59000,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-29,[MENGE_11_7-_01-V],484.20700,361.84500,0.00000,336.05600,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-30,[MENGE_11_7-_01-V],484.20700,361.84500,0.00000,336.05600,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-31,[MENGE_11_7-_01-V],484.20700,361.84500,0.00000,336.05600,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-01,[MENGE_12_1-_01-P],3896.10200,4026.05800,4026.06700,,3944.32100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-02,[MENGE_12_1-_01-P],3969.45700,4101.85900,4101.86800,,3941.34600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-03,[MENGE_12_1-_01-P],3896.10200,4026.05800,4026.06700,,3890.86600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-04,[MENGE_12_1-_01-P],3969.45800,4101.85900,4101.86800,,3936.84400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-05,[MENGE_12_1-_01-P],3896.10200,4026.05800,4026.04900,,3868.40200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-06,[MENGE_12_1-_01-P],3896.10200,4026.05800,4026.04900,,3814.75300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-07,[MENGE_12_1-_01-P],3826.67700,3954.31700,3954.30800,,3778.71500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-08,[MENGE_12_1-_01-P],3826.67800,3954.31700,3954.30800,,3850.65100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-09,[MENGE_12_1-_01-P],3826.67700,3954.31700,3954.32000,,3865.12900
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-10,[MENGE_12_1-_01-P],3826.67700,3954.31700,3954.32000,,3880.87200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-11,[MENGE_12_1-_01-P],3826.67700,3954.31700,3954.32000,,3884.88500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-12,[MENGE_12_1-_01-P],3957.23200,4089.22600,4089.22900,,3931.48700
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-13,[MENGE_12_1-_01-P],3826.67700,3954.31700,3954.32000,,3948.81100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-14,[MENGE_12_1-_01-P],3826.67700,3954.31700,3954.30800,,3982.91000
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-15,[MENGE_12_1-_01-P],3826.67700,3954.31700,3954.30800,,3957.10100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-16,[MENGE_12_1-_01-P],3846.32700,3974.62100,3974.61200,,3998.30600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-17,[MENGE_12_1-_01-P],3953.73800,4085.61600,4085.60700,,3970.55000
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-18,[MENGE_12_1-_01-P],3846.32600,3974.62100,3974.61200,,3967.54000
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-19,[MENGE_12_1-_01-P],3846.32600,3974.62100,3974.61200,,3966.99700
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-20,[MENGE_12_1-_01-P],3953.73900,4085.61600,4085.60700,,3898.62400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-21,[MENGE_12_1-_01-P],3846.32600,3974.62100,3974.61200,,3932.84600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-22,[MENGE_12_1-_01-P],3846.32600,3974.62100,3974.61200,,3932.45600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-23,[MENGE_12_1-_01-P],3846.32600,3974.62100,3974.61200,,3898.18300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-24,[MENGE_12_1-_01-P],3846.32700,3974.62100,3974.63000,,3962.46100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-25,[MENGE_12_1-_01-P],3846.32600,3974.62100,3974.63000,,3973.80600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-26,[MENGE_12_1-_01-P],3846.32600,3974.62100,3974.63000,,3990.39900
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-27,[MENGE_12_1-_01-P],3896.10200,4026.05800,4026.06700,4026.05800,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-28,[MENGE_12_1-_01-P],3896.10300,4026.05800,4026.06700,4026.05800,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-29,[MENGE_12_1-_01-P],3896.10200,4026.05800,4026.06700,4026.05800,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-30,[MENGE_12_1-_01-P],3896.10200,4026.05800,4026.06700,4026.05800,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-31,[MENGE_12_1-_01-P],3896.10200,4026.05800,4026.06700,4026.05800,
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-01,[MENGE_13_1-_01-M],2165.98000,1998.80700,1998.81000,,1767.83400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-02,[MENGE_13_1-_01-M],2165.98000,1998.80700,1998.81000,,1618.36700
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-03,[MENGE_13_1-_01-M],1726.31200,1593.07300,1593.07600,,1621.80300
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-04,[MENGE_13_1-_01-M],1748.07100,1613.15300,1613.15600,,1629.03400
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-05,[MENGE_13_1-_01-M],2165.64200,1998.49600,1998.49800,,1698.28900
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-06,[MENGE_13_1-_01-M],2177.54600,2009.48000,2009.48300,,1593.11100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-07,[MENGE_13_1-_01-M],2205.58900,2035.35900,2035.36200,,1626.80800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-08,[MENGE_13_1-_01-M],2186.72100,2017.94800,2017.95000,,1573.33100
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-09,[MENGE_13_1-_01-M],2186.72100,2017.94800,2017.94500,,1588.92500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-10,[MENGE_13_1-_01-M],2186.72100,2017.94800,2017.94500,,1639.93600
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-11,[MENGE_13_1-_01-M],2186.72100,2017.94800,2017.94500,,1629.04800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-12,[MENGE_13_1-_01-M],2185.15800,2016.50500,2016.50200,,1673.52500
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-13,[MENGE_13_1-_01-M],1751.16000,1616.00400,1616.00200,,1660.04200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-14,[MENGE_13_1-_01-M],2076.80100,1916.51200,1916.50900,,1808.51200
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-15,[MENGE_13_1-_01-M],1765.16700,1628.93000,1628.92700,,1630.01700
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-16,[MENGE_13_1-_01-M],2125.70000,1961.63700,1961.63400,,1598.52800
SAP MII,STG_HQ_DASHBOARD_TAB_ALL,2019-05-26,2019-05-17,[MENGE_13_1-_01-M],2125.70000,1961.63700,1961.63400,,1614.26600
